ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
ID = 3, Name = Кукла, Количество = 10, Weight = 60
ID = 4, Name = Машинка, Количество = 5, Weight = 15
ID = 1, Name = Конструктор, Количество = 3, Weight = 18
ID = 2, Name = Робот, Количество = 5, Weight = 5
